enzymes	ranges	minU	maxU	pU
P00127	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P00128	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P00163	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P00330	0.000419998826611364	0	0.000419998826611364	0
P00358	0.000460764995490948	0	0.000460764995490948	0
P00359	0.000462055271017328	0	0.000462055271017328	2.91038717054319e-05
P00360	0.000462012619284319	0	0.000462012619284319	0
P00401	2.19209219713364e-09	7.64357207353268e-06	7.64576416572982e-06	7.64575666039114e-06
P00410	2.19209219713364e-09	7.64357207353268e-06	7.64576416572982e-06	7.64575666039114e-06
P00420	2.19209219713364e-09	7.64357207353268e-06	7.64576416572982e-06	7.64575666039114e-06
P00425	1.99686067669449e-06	5.64890348903533e-06	7.64576416572982e-06	7.64575666039114e-06
P00427	1.99686067669449e-06	5.64890348903533e-06	7.64576416572982e-06	7.64575666039114e-06
P00549	2.83342349766766e-06	0	2.83342349766766e-06	2.83010832168284e-06
P00560	0.000345936074546175	1.31990305605351e-06	0.000347255977602229	1.32085876305276e-06
P00830	8.54699183316267e-09	1.91083994245568e-05	1.911694641639e-05	1.91084030391071e-05
P00854	8.5469371324153e-09	1.91082771308005e-05	1.91168240679329e-05	1.91082807453277e-05
P00856	8.5469371324153e-09	1.91082771308005e-05	1.91168240679329e-05	1.91082807453277e-05
P00890	2.57892725059477e-06	0	2.57892725059477e-06	2.5783185308434e-06
P00924	0.000333697156885478	0	0.000333697156885478	0
P00925	0.000332999371567107	0	0.000332999371567107	0
P00942	6.40523623001667e-05	4.05175832820209e-08	6.40928798834488e-05	4.05767957433771e-08
P00950	0.000560571833185863	1.22984717045819e-06	0.000561801680356321	1.23073767036531e-06
P04037	1.99686067669449e-06	5.64890348903533e-06	7.64576416572982e-06	7.64575666039114e-06
P04039	3.99372135338898e-06	1.12978069780707e-05	1.52915283314596e-05	1.52915133207823e-05
P04385	0	0	0	0
P04397	0.000197922745704338	0	0.000197922745704338	0
P04806	1.9505952599828e-06	0	1.9505952599828e-06	1.9505952599828e-06
P04807	4.21833544779233e-06	0	4.21833544779233e-06	0
P05626	8.5469371324153e-09	1.91082771308005e-05	1.91168240679329e-05	1.91082807453277e-05
P06169	3.9630595177406e-07	0	3.9630595177406e-07	3.88045163210408e-07
P07143	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P07170	0.00063853224823856	0	0.00063853224823856	0
P07251	8.54699183316267e-09	1.91083994245568e-05	1.911694641639e-05	1.91084030391071e-05
P07255	2.19209219713364e-09	7.64357207353268e-06	7.64576416572982e-06	7.64575666039114e-06
P07256	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P07257	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P08067	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P08417	0.000291177566967315	3.44871683423399e-07	0.000291522438650739	3.45366637362968e-07
P08431	0.000365141448733958	0	0.000365141448733958	0
P08525	6.91007244868521e-09	2.40946237863405e-05	2.41015338587892e-05	2.41015101999148e-05
P09201	1.10362878764332e-08	0	1.10362878764332e-08	0
P09457	8.5469371324153e-09	1.91082771308005e-05	1.91168240679329e-05	1.91082807453277e-05
P09624	7.3875559662474e-08	1.09976404896343e-05	1.10715160492968e-05	1.09978804089873e-05
P0CX10	0.000330090637666111	0	0.000330090637666111	0
P0CX11	0.000330090637666111	0	0.000330090637666111	0
P10174	1.99686067669449e-06	5.64890348903533e-06	7.64576416572982e-06	7.64575666039114e-06
P10963	1.24069236287867e-08	0	1.24069236287867e-08	0
P11154	1.53611146986403e-06	0	1.53611146986403e-06	1.53593588947089e-06
P11412	2.83639109507471e-09	2.10977836739498e-07	2.13814227834573e-07	2.11382521387843e-07
P12695	5.36044490214394e-09	7.9799389903258e-07	8.03354343934723e-07	7.98011307692201e-07
P12709	0.00025247924385391	4.61705683410133e-07	0.00025294094953732	4.63952083175819e-07
P14540	0.000390634977403958	1.08364263889002e-05	0.000401471403792859	1.0852208787254e-05
P15019	0.00041787832020929	1.24179855420183e-06	0.000419120118763492	1.24419634863509e-06
