enzymes	ranges	minU	maxU	pU
P00127	7.51733323209848e-09	2.62861649084504e-05	2.62936822416825e-05	2.62936564387747e-05
P00128	7.51733323209848e-09	2.62861649084504e-05	2.62936822416825e-05	2.62936564387747e-05
P00163	7.51733323209848e-09	2.62861649084504e-05	2.62936822416825e-05	2.62936564387747e-05
P00330	0.000364606081012592	0	0.000364606081012592	0
P00358	0.000406404551327732	0	0.000406404551327732	0
P00359	0.0004075426018557	0	0.0004075426018557	3.16922361883216e-05
P00360	0.000407504982117686	0	0.000407504982117686	0
P00401	2.38473440631161e-09	8.33879780801599e-06	8.3411825424223e-06	8.34117435692925e-06
P00410	2.38473440631161e-09	8.33879780801599e-06	8.3411825424223e-06	8.34117435692925e-06
P00420	2.38473440631161e-09	8.33879780801599e-06	8.3411825424223e-06	8.34117435692925e-06
P00425	1.73378389126715e-06	6.60739865115556e-06	8.34118254242271e-06	8.34117435692925e-06
P00427	1.73378389126715e-06	6.60739865115556e-06	8.34118254242271e-06	8.34117435692925e-06
P00549	3.08627636213843e-06	0	3.08627636213843e-06	3.08266984803467e-06
P00560	0.000300311516663672	1.43734995178644e-06	0.000301748866615458	1.43838964737105e-06
P00830	9.29810594886099e-09	2.08465308751745e-05	2.08558289811234e-05	2.08465348172854e-05
P00854	9.29804644098141e-09	2.08463974573769e-05	2.08556955038179e-05	2.08464013994626e-05
P00856	9.29804644098141e-09	2.08463974573769e-05	2.08556955038179e-05	2.08464013994626e-05
P00890	2.81636692811355e-06	0	2.81636692811355e-06	2.81570470322943e-06
P00924	0.00029037451785411	0	0.00029037451785411	0
P00925	0.000289767323362917	0	0.000289767323362917	0
P00942	6.40451493780894e-05	4.41240443206745e-08	6.40892734224101e-05	4.41884604384533e-08
P00950	0.000486639410521557	1.33928076236768e-06	0.000487978691283924	1.34024952038896e-06
P04037	1.73378389126715e-06	6.60739865115556e-06	8.34118254242271e-06	8.34117435692925e-06
P04039	3.4675677825343e-06	1.32147973023111e-05	1.66823650848454e-05	1.66823487138585e-05
P04385	0	0	0	0
P04397	0.000171819138726513	0	0.000171819138726513	0
P04806	2.12201459214486e-06	0	2.12201459214486e-06	2.12201459214486e-06
P04807	4.58904497433063e-06	0	4.58904497433063e-06	0
P05626	9.29804644098141e-09	2.08463974573769e-05	2.08556955038179e-05	2.08464013994626e-05
P06169	4.30292950918246e-07	0	4.30292950918246e-07	4.21306228709099e-07
